Order,Level,Code,Parent,Description,Cette catégorie comprend,Cette catégorie comprend aussi,Cette catégorie ne comprend pas,"Décisions de classement (""rulings"")",Cette catégorie comprend,Cette catégorie comprend aussi,Cette catégorie ne comprend pas
510888,5,28.29.4,28.29,"Centrifugeuses, appareils de calandrage et machines de vente automatiques",,,,,,,
510889,6,28.29.41,28.29.4,Centrifugeuses n.c.a.,,,,,,,
510890,6,28.29.42,28.29.4,"Calandres et autres laminoirs, à l’exclusion de ceux pour le métal et le verre",,,,,,,
510891,6,28.29.43,28.29.4,Machines automatiques de vente de produits,,,,,,,
510892,5,28.29.5,28.29,Machines à laver la vaisselle de type industriel,,,,,,,
510893,6,28.29.50,28.29.5,Machines à laver la vaisselle de type industriel,,,,,,,
510894,5,28.29.6,28.29,Matériel n.c.a. pour le traitement de matériaux fonctionnant sur la base d’une différence de température,,,,,,,
510895,6,28.29.60,28.29.6,Matériel n.c.a. pour le traitement de matériaux fonctionnant sur la base d’une différence de température,,,,,,,
510896,5,28.29.7,28.29,Matériel non électrique pour le soudage et le brasage et ses parties; matériel pour la trempe superficielle fonctionnant au gaz,,,,,,,
510897,6,28.29.70,28.29.7,Matériel non électrique pour le soudage et le brasage et ses parties; matériel pour la trempe superficielle fonctionnant au gaz,,,,,,,
510898,5,28.29.8,28.29,Parties d’autres machines d’usage général n.c.a.,,,,,,,
510899,6,28.29.81,28.29.8,Parties de générateurs de gaz,,,,,,,
510900,6,28.29.82,28.29.8,Parties de centrifugeuses; parties d’appareils de filtration et d’épuration des liquides et des gaz,,,,,,,
510901,6,28.29.83,28.29.8,"Parties d’appareils de calandrage ou de laminage; parties de matériel de pulvérisation, poids pour appareils de pesage",,,,,,,
510902,6,28.29.84,28.29.8,Parties de machines sans connecteurs électriques n.c.a.,,,,,,,
510903,6,28.29.85,28.29.8,"Pièces de machines à laver la vaisselle et d’équipements de nettoyage, remplissage, emballage ou conditionnement",,,,,,,
510904,6,28.29.86,28.29.8,Parties de matériel non électrique pour le soudage et le brasage et de matériel pour la trempe superficielle fonctionnant au gaz,,,,,,,
510905,5,28.29.9,28.29,Opérations sous-traitées intervenant dans la fabrication d’autres machines d’usage général n.c.a.,,,,,,,
510906,6,28.29.99,28.29.9,Opérations sous-traitées intervenant dans la fabrication d’autres machines d’usage général n.c.a.,,,,,,,
510907,3,28.3,28,Machines agricoles et forestières,,,,,,,
510908,4,28.30,28.3,Machines agricoles et forestières,,,,,,,
510909,5,28.30.1,28.30,Motoculteurs,,,,,,,
510910,6,28.30.10,28.30.1,Motoculteurs,,,,,,,
510911,5,28.30.2,28.30,Autres tracteurs agricoles,,,,,,,
510912,6,28.30.21,28.30.2,Tracteurs d’une puissance inférieure ou égale à 37 kW,,,,,,,
510913,6,28.30.22,28.30.2,Tracteurs d’une puissance comprise entre 37 kW et 59 kW,,,,,,,
510914,6,28.30.23,28.30.2,Tracteurs d’une puissance supérieure à 59 kW,,,,,,,
510915,5,28.30.3,28.30,Matériel agricole pour le travail du sol,,,,,,,
510916,6,28.30.31,28.30.3,Charrues,,,,,,,
510917,6,28.30.32,28.30.3,"Herses, scarificateurs, cultivateurs, herses à dents et motohoues",,,,,,,
510918,6,28.30.33,28.30.3,"Semoirs, plantoirs et repiqueurs",,,,,,,
510919,6,28.30.34,28.30.3,Épandeurs de fumier et distributeurs d’engrais,,,,,,,
510920,6,28.30.39,28.30.3,Autre matériel pour le travail du sol,,,,,,,
510921,5,28.30.4,28.30,Tondeuses à gazon,,,,,,,
510922,6,28.30.40,28.30.4,Tondeuses à gazon,,,,,,,
510923,5,28.30.5,28.30,Matériel de récolte,,,,,,,
510924,6,28.30.51,28.30.5,Faucheuses (y compris barres de coupe à monter sur un tracteur) n.c.a.,,,,,,,
510925,6,28.30.52,28.30.5,Appareils de fenaison,,,,,,,
510926,6,28.30.53,28.30.5,Ramasseuses-presses,,,,,,,
510927,6,28.30.54,28.30.5,Matériel pour la récolte des racines et tubercules,,,,,,,
510928,6,28.30.59,28.30.5,Matériel de récolte et de battage n.c.a.,,,,,,,
510929,5,28.30.6,28.30,Pulvérisateurs et poudreuses agricoles et horticoles,,,,,,,
510930,6,28.30.60,28.30.6,Pulvérisateurs et poudreuses agricoles et horticoles,,,,,,,
510931,5,28.30.7,28.30,Remorques autochargeuses et autodéchargeuses et semi-remorques agricoles,,,,,,,
510932,6,28.30.70,28.30.7,Remorques autochargeuses et autodéchargeuses et semi-remorques agricoles,,,,,,,
510933,5,28.30.8,28.30,Autre matériel agricole,,,,,,,
510934,6,28.30.81,28.30.8,"Matériel de nettoyage, tri et criblage des œufs, des fruits ou d’autres produits agricoles, à l’exclusion des graines, grains ou légumes secs",,,,,,,
510935,6,28.30.82,28.30.8,Machines à traire,,,,,,,
510936,6,28.30.83,28.30.8,Matériel pour la préparation des aliments pour animaux,,,,,,,
510937,6,28.30.84,28.30.8,Incubateurs et couveuses,,,,,,,
510938,6,28.30.85,28.30.8,Matériel d’aviculture,,,,,,,
510939,6,28.30.86,28.30.8,"Matériel agricole, horticole, forestier, avicole et apicole n.c.a.",,,,,,,
510940,5,28.30.9,28.30,Parties de matériel agricole; opérations sous-traitées intervenant dans la fabrication de machines agricoles et forestières,,,,,,,
510941,6,28.30.91,28.30.9,Parties de matériel de récolte et de battage n.c.a.,,,,,,,
510942,6,28.30.92,28.30.9,Parties de matériel pour le travail du sol,,,,,,,
510943,6,28.30.93,28.30.9,Parties d’autre matériel agricole,,,,,,,
510944,6,28.30.94,28.30.9,Parties de matériel de laiterie n.c.a.,,,,,,,
510945,6,28.30.99,28.30.9,Opérations sous-traitées intervenant dans la fabrication de machines agricoles et forestières,,,,,,,
510946,3,28.4,28,Machines de formage des métaux et machines-outils,,,,,,,
510947,4,28.41,28.4,Machines de formage des métaux,,,,,,,
510948,5,28.41.1,28.41,"Machines-outils d’usinage des métaux, opérant par laser ou procédés similaires; centres d’usinage des métaux",,,,,,,
510949,6,28.41.11,28.41.1,"Machines-outils d’usinage des métaux opérant par enlèvement de matière par laser, ultrasons et procédés similaires",,,,,,,
510950,6,28.41.12,28.41.1,"Centres d’usinage, machines à poste fixe et machines à stations multiples, pour l’usinage des métaux",,,,,,,
510951,5,28.41.2,28.41,"Tours, machines à percer et à fraiser, pour l’usinage des métaux",,,,,,,
510952,6,28.41.21,28.41.2,Tours opérant par enlèvement de métal,,,,,,,
510953,6,28.41.22,28.41.2,"Perceuses, aléseuses, fraiseuses pour l’usinage des métaux; machines à fileter ou à tarauder n.c.a.",,,,,,,
510954,6,28.41.23,28.41.2,"Machines à ébarber, affûter, meuler et autres machines-outils de finition des métaux",,,,,,,
510955,6,28.41.24,28.41.2,"Machines à raboter, scier, tronçonner et autres machines-outils travaillant par enlèvement de métal",,,,,,,
510956,5,28.41.3,28.41,Autres machines-outils pour l’usinage des métaux,,,,,,,
510957,6,28.41.31,28.41.3,"Machines à rouler, cintrer, plier ou dresser les métaux",,,,,,,
510958,6,28.41.32,28.41.3,"Machines à cisailler, poinçonner ou gruger les métaux",,,,,,,
510959,6,28.41.33,28.41.3,Machines à forger ou à estamper et marteaux-pilons; presses hydrauliques et presses pour l’usinage des métaux n.c.a.,,,,,,,
510960,6,28.41.34,28.41.3,"Machines-outils n.c.a. pour l’usinage des métaux, carbures métalliques frittés ou cermets, opérant sans enlèvement de matière",,,,,,,
510961,5,28.41.4,28.41,Parties et accessoires de machines-outils à métaux,,,,,,,
510962,6,28.41.40,28.41.4,Parties et accessoires de machines-outils à métaux,,,,,,,
510963,5,28.41.9,28.41,Opérations sous-traitées intervenant dans la fabrication de machines de formage des métaux,,,,,,,
510964,6,28.41.99,28.41.9,Opérations sous-traitées intervenant dans la fabrication de machines de formage des métaux,,,,,,,
510965,4,28.49,28.4,Autres machines-outils,,,,,,,
510966,5,28.49.1,28.49,"Machines-outils pour le travail de la pierre, du bois et d’autres matériaux durs",,,,,,,
510967,6,28.49.11,28.49.1,"Machines-outils pour le travail de la pierre, des produits céramiques, du béton ou de matériaux minéraux similaires ou pour le travail à froid du verre",,,,,,,
510968,6,28.49.12,28.49.1,"Machines-outils pour le travail du bois, du liège, de l’os, du caoutchouc durci, des matières plastiques dures ou de matériaux durs similaires; machines d’électrodéposition",,,,,,,
510969,5,28.49.2,28.49,Porte-outils,,,,,,,
510970,6,28.49.21,28.49.2,"Porte-outils et filières à déclenchement automatique, pour machines-outils",,,,,,,
510971,6,28.49.22,28.49.2,"Porte-pièces, pour machines-outils",,,,,,,
510972,6,28.49.23,28.49.2,Plateaux diviseurs et autres dispositifs spéciaux se montant sur machines-outils,,,,,,,
510973,6,28.49.24,28.49.2,"Parties et accessoires pour machines-outils pour le travail du bois, du liège, de l’os, du caoutchouc durci ou de matériaux durs similaires",,,,,,,
510974,5,28.49.9,28.49,Opérations sous-traitées intervenant dans la fabrication d’autres machines-outils,,,,,,,
510975,6,28.49.99,28.49.9,Opérations sous-traitées intervenant dans la fabrication d’autres machines-outils,,,,,,,
510976,3,28.9,28,Autres machines d’usage spécifique,,,,,,,
510977,4,28.91,28.9,Machines pour la métallurgie,,,,,,,
510978,5,28.91.1,28.91,Machines pour la métallurgie et leurs parties,,,,,,,
510979,6,28.91.11,28.91.1,"Convertisseurs, poches de coulée, lingotières, machines à couler; laminoirs à métaux",,,,,,,
510980,6,28.91.12,28.91.1,Parties de machines pour la métallurgie; parties de laminoirs à métaux,,,,,,,
510981,5,28.91.9,28.91,Opérations sous-traitées intervenant dans la fabrication de machines pour la métallurgie,,,,,,,
510982,6,28.91.99,28.91.9,Opérations sous-traitées intervenant dans la fabrication de machines pour la métallurgie,,,,,,,
510983,4,28.92,28.9,Machines pour l’extraction ou la construction,,,,,,,
510984,5,28.92.1,28.92,Matériel de mines,,,,,,,
510985,6,28.92.11,28.92.1,"Élévateurs, transporteurs et convoyeurs continus, pour mines",,,,,,,
510986,6,28.92.12,28.92.1,"Haveuses, abatteuses et tunneliers; autres matériels de forage et d’abattage",,,,,,,
510987,5,28.92.2,28.92,"Autres machines et appareils de terrassement, nivellement, décapage, excavation, compactage, extraction de la terre, des minéraux ou minerais, autopropulsés (y compris bouteurs, pelles mécaniques et rouleaux compresseurs)",,,,,,,
510988,6,28.92.21,28.92.2,Bouteurs et bouteurs-biais autopropulsés,,,,,,,
510989,6,28.92.22,28.92.2,Niveleuses et profileurs autopropulsés,,,,,,,
510990,6,28.92.23,28.92.2,Décapeuses autopropulsées,,,,,,,
510991,6,28.92.24,28.92.2,Compacteuses et rouleaux compresseurs autopropulsés,,,,,,,
510992,6,28.92.25,28.92.2,Chargeuses-pelleteuses frontales autopropulsées,,,,,,,
510993,6,28.92.26,28.92.2,"Pelles mécaniques, excavateurs et chargeuses-pelleteuses rotatifs autopropulsés",,,,,,,
510994,6,28.92.27,28.92.2,"Autres pelles mécaniques, excavateurs et chargeuses-pelleteuses autopropulsés; autres matériels de mines autopropulsés",,,,,,,
510995,6,28.92.28,28.92.2,Lames pour bouteurs et bouteurs-biais,,,,,,,
510996,6,28.92.29,28.92.2,Tombereaux automoteurs,,,,,,,
510997,5,28.92.3,28.92,Autres matériels de travaux publics,,,,,,,
510998,6,28.92.30,28.92.3,Autres matériels de travaux publics,,,,,,,
510999,5,28.92.4,28.92,"Machines à trier, broyer, mélanger la terre, la pierre, les minerais et d’autres substances minérales",,,,,,,
511000,6,28.92.40,28.92.4,"Machines à trier, broyer, mélanger la terre, la pierre, les minerais et d’autres substances minérales",,,,,,,
511001,5,28.92.5,28.92,Tracteurs de chantier,,,,,,,
511002,6,28.92.50,28.92.5,Tracteurs de chantier,,,,,,,
511003,5,28.92.6,28.92,Parties de machines pour l’extraction ou la construction,,,,,,,
511004,6,28.92.61,28.92.6,"Parties de machines de forage, havage ou excavation; parties de grues",,,,,,,
511005,6,28.92.62,28.92.6,"Parties de machines à trier, broyer, mélanger la terre, la pierre et d’autres substances similaires",,,,,,,
511006,5,28.92.9,28.92,Opérations sous-traitées intervenant dans la fabrication de machines pour l’extraction ou la construction,,,,,,,
511007,6,28.92.99,28.92.9,Opérations sous-traitées intervenant dans la fabrication de machines pour l’extraction ou la construction,,,,,,,
511008,4,28.93,28.9,Machines pour l’industrie agroalimentaire,,,,,,,
511009,5,28.93.1,28.93,"Machines pour l’industrie agroalimentaire, à l’exclusion de leurs parties",,,,,,,
511010,6,28.93.11,28.93.1,Écrémeuses,,,,,,,
511011,6,28.93.12,28.93.1,Machines et appareils de laiterie,,,,,,,
511012,6,28.93.13,28.93.1,Machines et appareils pour la minoterie ou le traitement des céréales ou légumes secs n.c.a.,,,,,,,
511013,6,28.93.14,28.93.1,"Machines et appareils pour la préparation du vin, du cidre, des jus de fruits ou de boissons similaires",,,,,,,
511014,6,28.93.15,28.93.1,Fours de boulangerie non électriques; matériels de cuisson ou de torréfaction non domestiques,,,,,,,
511015,6,28.93.16,28.93.1,Séchoirs agroalimentaires,,,,,,,
511016,6,28.93.17,28.93.1,Machines et appareils n.c.a. pour l’industrie agroalimentaire,,,,,,,
511017,6,28.93.19,28.93.1,Machines et appareils pour la préparation du tabac n.c.a.,,,,,,,
511018,5,28.93.2,28.93,"Machines pour le nettoyage, le tri ou le criblage des grains ou des légumes secs",,,,,,,
511019,6,28.93.20,28.93.2,"Machines pour le nettoyage, le tri ou le criblage des grains ou des légumes secs",,,,,,,
511020,5,28.93.3,28.93,Parties de machines pour l’industrie agroalimentaire,,,,,,,
511021,6,28.93.31,28.93.3,Parties de machines pour la préparation de boissons,,,,,,,
511022,6,28.93.32,28.93.3,Parties de machines pour l’industrie alimentaire,,,,,,,
511023,6,28.93.33,28.93.3,Parties de machines pour la préparation du tabac,,,,,,,
511024,6,28.93.34,28.93.3,"Parties de machines pour le nettoyage, le tri ou le criblage des grains ou des légumes secs",,,,,,,
511025,5,28.93.9,28.93,Opérations sous-traitées intervenant dans la fabrication de machines pour l’industrie agroalimentaire,,,,,,,
511026,6,28.93.99,28.93.9,Opérations sous-traitées intervenant dans la fabrication de machines pour l’industrie agroalimentaire,,,,,,,
511027,4,28.94,28.9,Machines pour les industries textiles,,,,,,,
511028,5,28.94.1,28.94,"Machines de filature, tissage et tricotage",,,,,,,
511029,6,28.94.11,28.94.1,"Machines pour le filage (extrusion), l’étirage, la texturation ou le tranchage des matières textiles synthétiques ou artificielles; machines pour la préparation des fibres textiles",,,,,,,
511030,6,28.94.12,28.94.1,"Métiers à filer; machines pour le doublage, le retordage, le bobinage ou le dévidage",,,,,,,
511031,6,28.94.13,28.94.1,Métiers à tisser,,,,,,,
511032,6,28.94.14,28.94.1,Machines et métiers à tricoter; machines de couture-tricotage et machines similaires; machines à touffeter,,,,,,,
511033,6,28.94.15,28.94.1,Machines et matériels auxiliaires pour l’industrie textile; machines à imprimer les textiles,,,,,,,
511034,5,28.94.2,28.94,"Autres machines pour l’industrie textile et la confection, y compris machines à coudre",,,,,,,
511035,6,28.94.21,28.94.2,"Machines pour le lavage, le nettoyage, l’essorage, le repassage, le pressage, la teinture, l’enroulage et autres opérations similaires des fils et textiles; machines pour la finition du feutre",,,,,,,
511036,6,28.94.22,28.94.2,Machines à laver de type industriel; machines pour le nettoyage à sec; machines à sécher d’une capacité supérieure à 10 kg,,,,,,,
511037,6,28.94.23,28.94.2,Essoreuses à linge,,,,,,,
511038,6,28.94.24,28.94.2,Machines à coudre industrielles,,,,,,,
511039,5,28.94.3,28.94,Machines pour le travail du cuir ou pour la fabrication ou réparation de chaussures ou autres,,,,,,,
511040,6,28.94.30,28.94.3,Machines pour le travail du cuir ou pour la fabrication ou réparation de chaussures ou autres,,,,,,,
511041,5,28.94.4,28.94,Machines à coudre de type ménager,,,,,,,
511042,6,28.94.40,28.94.4,Machines à coudre de type ménager,,,,,,,
511043,5,28.94.5,28.94,"Parties et accessoires de machines de filature, tissage et tricotage et d’autres machines pour l’industrie textile et la confection",,,,,,,
511044,6,28.94.51,28.94.5,"Parties et accessoires de machines de filature, tissage et tricotage",,,,,,,
511045,6,28.94.52,28.94.5,Parties d’autres machines pour l’industrie textile et la confection,,,,,,,
511046,5,28.94.9,28.94,Opérations sous-traitées intervenant dans la fabrication de machines pour les industries textiles,,,,,,,
511047,6,28.94.99,28.94.9,Opérations sous-traitées intervenant dans la fabrication de machines pour les industries textiles,,,,,,,
511048,4,28.95,28.9,Machines pour les industries du papier et du carton,,,,,,,
511049,5,28.95.1,28.95,Machines pour les industries du papier et du carton et leurs parties,,,,,,,
511050,6,28.95.11,28.95.1,"Machines pour les industries du papier et du carton, à l’exclusion de leurs parties",,,,,,,
511051,6,28.95.12,28.95.1,Parties de machines pour les industries du papier et du carton,,,,,,,
511052,5,28.95.9,28.95,Opérations sous-traitées intervenant dans la fabrication de machines pour les industries du papier et du carton,,,,,,,
511053,6,28.95.99,28.95.9,Opérations sous-traitées intervenant dans la fabrication de machines pour les industries du papier et du carton,,,,,,,
511054,4,28.96,28.9,Machines pour le travail du caoutchouc ou des matières plastiques,,,,,,,
511055,5,28.96.1,28.96,Machines n.c.a. pour le travail du caoutchouc ou des matières plastiques et pour la fabrication d’articles en ces matières,,,,,,,
511056,6,28.96.10,28.96.1,Machines n.c.a. pour le travail du caoutchouc ou des matières plastiques et pour la fabrication d’articles en ces matières,,,,,,,
511057,5,28.96.2,28.96,Parties de machines n.c.a. pour le travail du caoutchouc ou des matières plastiques et pour la fabrication d’articles en ces matières,,,,,,,
511058,6,28.96.20,28.96.2,Parties de machines n.c.a. pour le travail du caoutchouc ou des matières plastiques et pour la fabrication d’articles en ces matières,,,,,,,
511059,5,28.96.9,28.96,Opérations sous-traitées intervenant dans la fabrication de machines pour le travail du caoutchouc ou des matières plastiques,,,,,,,
511060,6,28.96.99,28.96.9,Opérations sous-traitées intervenant dans la fabrication de machines pour le travail du caoutchouc ou des matières plastiques,,,,,,,
511061,4,28.99,28.9,Autres machines d’usage spécifique n.c.a.,,,,,,,
511062,5,28.99.1,28.99,Machines d’imprimerie et machines pour le brochage et la reliure,,,,,,,
511063,6,28.99.11,28.99.1,"Machines pour le brochage et la reliure, y compris machines à coudre les feuillets",,,,,,,
511064,6,28.99.12,28.99.1,Machines pour la composition ou pour la préparation de clichés ou plaques,,,,,,,
511065,6,28.99.13,28.99.1,"Machines d’impression offset, à l’exclusion des machines offset de bureau",,,,,,,
511066,6,28.99.14,28.99.1,"Autres machines d’impression, à l’exclusion des machines de bureau",,,,,,,
511067,5,28.99.2,28.99,"Machines et appareils utilisés uniquement ou principalement pour fabriquer des barreaux ou plaquettes de semi-conducteurs, des dispositifs à semi-conducteur, des circuits intégrés électroniques ou des écrans plats",,,,,,,
511068,6,28.99.20,28.99.2,"Machines et appareils utilisés uniquement ou principalement pour fabriquer des barreaux ou plaquettes de semi-conducteurs, des dispositifs à semi-conducteur, des circuits intégrés électroniques ou des écrans plats",,,,,,,
511069,5,28.99.3,28.99,Machines d’usage spécifique n.c.a.,,,,,,,
511070,6,28.99.31,28.99.3,"Séchoirs à bois, pâte à papier, papier et carton; séchoirs industriels n.c.a.",,,,,,,
511071,6,28.99.32,28.99.3,"Manèges, balançoires, stands de tir et autres attractions foraines",,,,,,,
511072,6,28.99.39,28.99.3,Dispositifs de lancement d’aéronefs; dispositifs d’appontage ou dispositifs similaires; équipements d’équilibrage de pneumatiques; machines d’usage spécifique n.c.a.,,,,,,,
511073,5,28.99.4,28.99,Parties de machines d’imprimerie et de machines pour le brochage et la reliure,,,,,,,
511074,6,28.99.40,28.99.4,Parties de machines d’imprimerie et de machines pour le brochage et la reliure,,,,,,,
511075,5,28.99.5,28.99,"Parties de machines et d’appareils utilisés uniquement ou principalement pour fabriquer des barreaux ou plaquettes de semi-conducteurs, des dispositifs à semi-conducteur, des circuits intégrés électroniques ou des écrans plats; parties de machines d’usage spécifique n.c.a.",,,,,,,
511076,6,28.99.51,28.99.5,"Parties de machines et d’appareils utilisés uniquement ou principalement pour fabriquer des barreaux ou plaquettes de semi-conducteurs, des dispositifs à semi-conducteur, des circuits intégrés électroniques ou des écrans plats",,,,,,,
511077,6,28.99.52,28.99.5,Parties de machines d’usage spécifique n.c.a.,,,,,,,
511078,5,28.99.9,28.99,Opérations sous-traitées intervenant dans la fabrication d’autres machines d’usage spécifique n.c.a.,,,,,,,
511079,6,28.99.99,28.99.9,Opérations sous-traitées intervenant dans la fabrication d’autres machines d’usage spécifique n.c.a.,,,,,,,
511080,2,29,C,"Véhicules automobiles, remorques et semi-remorques",,,,,,,
511081,3,29.1,29,Véhicules automobiles,,,,,,,
511082,4,29.10,29.1,Véhicules automobiles,,,,,,,
511083,5,29.10.1,29.10,Moteurs pour véhicules automobiles,,,,,,,
511084,6,29.10.11,29.10.1,"Moteurs à explosion pour véhicules, d’une cylindrée inférieure ou égale à 1 000 cm3",,,,,,,
511085,6,29.10.12,29.10.1,"Moteurs à explosion pour véhicules, d’une cylindrée supérieure à 1 000 cm3",,,,,,,
511086,6,29.10.13,29.10.1,Moteurs diesels pour véhicules,,,,,,,
511087,5,29.10.2,29.10,Voitures particulières,,,,,,,
511088,6,29.10.21,29.10.2,Voitures particulières à moteur à explosion d’une cylindrée inférieure ou égale à 1 500 cm3,,,,,,,
511089,6,29.10.22,29.10.2,Voitures particulières à moteur à explosion d’une cylindrée supérieure à 1 500 cm3,,,,,,,
511090,6,29.10.23,29.10.2,Voitures particulières à moteur diesel,,,,,,,
511091,6,29.10.24,29.10.2,Autres voitures particulières,,,,,,,
511092,5,29.10.3,29.10,Autobus et autocars,,,,,,,
511093,6,29.10.30,29.10.3,Autobus et autocars,,,,,,,
511094,5,29.10.4,29.10,Véhicules utilitaires pour le transport de marchandises,,,,,,,
511095,6,29.10.41,29.10.4,Véhicules utilitaires à moteur diesel,,,,,,,
511096,6,29.10.42,29.10.4,Véhicules utilitaires à moteur à explosion et autres véhicules utilitaires,,,,,,,
511097,6,29.10.43,29.10.4,Tracteurs routiers pour semi-remorques,,,,,,,
511098,6,29.10.44,29.10.4,Châssis complets de véhicules automobiles,,,,,,,
511099,5,29.10.5,29.10,Véhicules utilitaires spécifiques,,,,,,,
511100,6,29.10.51,29.10.5,Camions-grues,,,,,,,
511101,6,29.10.52,29.10.5,"Véhicules à moteur pour le transport sur la neige, les terrains de golf et similaires",,,,,,,
511102,6,29.10.59,29.10.5,Véhicules utilitaires à usages spéciaux n.c.a.,,,,,,,
511103,5,29.10.9,29.10,Opérations sous-traitées intervenant dans la fabrication de véhicules automobiles,,,,,,,
511104,6,29.10.99,29.10.9,Opérations sous-traitées intervenant dans la fabrication de véhicules automobiles,,,,,,,
511105,3,29.2,29,Carrosseries automobiles; remorques et semi-remorques,,,,,,,
511106,4,29.20,29.2,Carrosseries automobiles; remorques et semi-remorques,,,,,,,
511107,5,29.20.1,29.20,Carrosseries automobiles,,,,,,,
511108,6,29.20.10,29.20.1,Carrosseries automobiles,,,,,,,
511109,5,29.20.2,29.20,Remorques et semi-remorques; conteneurs,,,,,,,
511110,6,29.20.21,29.20.2,Conteneurs conçus spécialement pour un ou plusieurs modes de transport,,,,,,,
511111,6,29.20.22,29.20.2,Remorques et semi-remorques de type caravane,,,,,,,
511112,6,29.20.23,29.20.2,Autres remorques et semi-remorques,,,,,,,
511113,5,29.20.3,29.20,"Parties de remorques, semi-remorques et autres véhicules, sans propulsion mécanique",,,,,,,
511114,6,29.20.30,29.20.3,"Parties de remorques, semi-remorques et autres véhicules, sans propulsion mécanique",,,,,,,
511115,5,29.20.4,29.20,"Travaux de reconditionnement, de montage, d’équipement et de carrosserie de véhicules automobiles",,,,,,,
511116,6,29.20.40,29.20.4,"Travaux de reconditionnement, de montage, d’équipement et de carrosserie de véhicules automobiles","Cette sous-catégorie comprend:
- le blindage de limousines en vue d’assurer la protection des passagers
- la préparation automobile
- la particularisation des véhicules automobiles",,"Cette sous-catégorie ne comprend pas:
- les services de réparation et d’entretien de véhicules automobiles, voir 45.20",,"This subcategory includes:
- armouring of limousines for passenger protection purposes
- tuning work on motor vehicles
- motor vehicle customising services",,"This subcategory excludes:
- repair and maintenance services of motor vehicles, see 45.20"
511117,5,29.20.5,29.20,Aménagement et équipement de caravanes et d’autocaravanes,,,,,,,
511118,6,29.20.50,29.20.5,Aménagement et équipement de caravanes et d’autocaravanes,,,,,,,
511119,5,29.20.9,29.20,Opérations sous-traitées intervenant dans la fabrication de carrosseries automobiles et de remorques et semi-remorques,,,,,,,
511120,6,29.20.99,29.20.9,Opérations sous-traitées intervenant dans la fabrication de carrosseries automobiles et de remorques et semi-remorques,,,,,,,
511121,3,29.3,29,Équipements automobiles,,,,,,,
511122,4,29.31,29.3,Équipements électriques et électroniques automobiles,,,,,,,
511123,5,29.31.1,29.31,"Faisceaux d’allumage et autres jeux de fils pour véhicules, avions et bateaux",,,,,,,
511124,6,29.31.10,29.31.1,"Faisceaux d’allumage et autres jeux de fils pour véhicules, avions et bateaux",,,,,,,
511125,5,29.31.2,29.31,Autres équipements électriques automobiles et leurs parties,,,,,,,
511126,6,29.31.21,29.31.2,Bougies d’allumage; magnétos d’allumage; magnétos-dynamos; volants magnétiques; distributeurs; bobines d’allumage,,,,,,,
511127,6,29.31.22,29.31.2,Démarreurs et démarreurs-alternateurs; autres générateurs et équipements,,,,,,,
511128,6,29.31.23,29.31.2,"Appareils électriques de signalisation, essuie-glaces, systèmes de dégivrage et de désembuage pour véhicules automobiles et motocycles",,,,,,,
511129,5,29.31.3,29.31,Parties d’équipements électriques pour véhicules automobiles et motocycles,,,,,,,
511130,6,29.31.30,29.31.3,Parties d’équipements électriques pour véhicules automobiles et motocycles,,,,,,,
511131,5,29.31.9,29.31,Opérations sous-traitées intervenant dans la fabrication d’équipements électriques et électroniques automobiles,,,,,,,
511132,6,29.31.99,29.31.9,Opérations sous-traitées intervenant dans la fabrication d’équipements électriques et électroniques automobiles,,,,,,,
511133,4,29.32,29.3,Autres parties et accessoires pour véhicules automobiles,,,,,,,
511134,5,29.32.1,29.32,Sièges pour véhicules automobiles,,,,,,,
511135,6,29.32.10,29.32.1,Sièges pour véhicules automobiles,,,,,,,
511136,5,29.32.2,29.32,"Ceintures de sécurité, airbags et parties et accessoires de carrosseries",,,,,,,
511137,6,29.32.20,29.32.2,"Ceintures de sécurité, airbags et parties et accessoires de carrosseries",,,,,,,
511138,5,29.32.3,29.32,Parties et accessoires n.c.a. pour véhicules automobiles,,,,,,,
511139,6,29.32.30,29.32.3,Parties et accessoires n.c.a. pour véhicules automobiles,,,,,,,
511140,5,29.32.9,29.32,"Assemblage de parties et accessoires pour véhicules automobiles, n.c.a.; assemblage de sous-ensembles complets de véhicules automobiles dans le cadre du processus de fabrication; opérations sous-traitées intervenant dans la fabrication d’autres parties et accessoires pour véhicules automobiles",,,,,,,
511141,6,29.32.91,29.32.9,Assemblage sous-traité de sous-ensembles complets de véhicules automobiles,"Cette sous-catégorie comprend:
- les services d’assemblage de sous-ensembles complets de véhicules automobiles",,,,"This subcategory includes:
- assembly services of complete kits for the construction of motor vehicles",,
511142,6,29.32.92,29.32.9,"Assemblage de parties et accessoires pour véhicules automobiles, n.c.a.","Cette sous-catégorie comprend:
- l’assemblage de pièces détachées fabriquées par des tiers (achetées ou fournies), relevant de la sous-catégorie 29.32.30, en modules d’assemblage: équipement d’échappement, roues, pare-chocs, etc.",,,,"This subcategory includes:
- assembly of not self-manufactured (purchased or supplied) parts of subcategory 29.32.30 into assembly groups, e.g. assembly of exhaust equipment, wheels or bumpers",,
511143,6,29.32.99,29.32.9,Opérations sous-traitées intervenant dans la fabrication d’autres parties et accessoires pour véhicules automobiles,,,,,,,
511144,2,30,C,Autres matériels de transport,,,,,,,
511145,3,30.1,30,Navires et bateaux,,,,,,,
511146,4,30.11,30.1,Navires et structures flottantes,,,,,,,
